system,case_family,case_id,dr_mode,dr_energy_hours,dr_avail_hours_et,dr_fraction,borrow_mw,neue_ppm,eue_mean_mwh,eue_stderr_mwh,is_anchor,ref_base_neue_ppm,reduction,frac_of_achievable,frac_of_dc_penalty_recovered,marginal_return_per_fraction,marginal_return_per_mw,cumulative_return_per_mw
pjm,shift_4h_all,shift_4h_all_1.00,shift,4.0,[],1.0,10167.0,39.62029674004065,664614.936,3111.5104001700333,False,1.0517002801340658,20.214171409407122,1.0,0.34387920375487285,0.5851516862513507,5.7537038962768004e-05,0.0019882139676804488
pjm,shift_8h_all,baseline_with_load_added,shift,8.0,[],0.0,0.0,59.83446814944777,1003699.7319999998,3093.621392387507,True,1.0517002801340658,0.0,0.0,0.0,,,
pjm,shift_8h_all,shift_8h_all_0.05,shift,8.0,[],0.05,507.0,53.366275048306825,895198.3300000001,3146.152533476884,False,1.0517002801340658,6.4681931011409475,0.21039319816615631,0.11003553142514627,129.36386202281895,0.01275777731980463,0.01275777731980463
pjm,shift_8h_all,shift_8h_all_0.10,shift,8.0,[],0.1,1017.0,48.01299046245935,805399.0809999999,3092.096028422375,False,1.0517002801340658,11.821477686988423,0.384521373855804,0.20110447526509845,107.06569171694952,0.010496636442838188,0.011623871865278686
pjm,shift_8h_all,shift_8h_all_0.20,shift,8.0,[],0.2,2035.0,40.50185315179935,679402.699,3024.3389307785324,False,1.0517002801340658,19.33261499764842,0.6288387861445845,0.32888235274372984,75.11137310659997,0.007378327417151274,0.009500056509900944
pjm,shift_8h_all,shift_8h_all_0.30,shift,8.0,[],0.3,3051.0,35.88011360097062,601874.831,2989.992017509949,False,1.0517002801340658,23.954354548477156,0.7791717384830592,0.4075064073493895,46.21739550828736,0.004548956250815684,0.007851312536374026
pjm,shift_8h_all,shift_8h_all_0.40,shift,8.0,[],0.4,4067.0,33.074743200980066,554815.843,2971.243402767744,False,1.0517002801340658,26.759724948467706,0.8704230108655377,0.4552307745691752,28.053703999905498,0.002761191338573377,0.0065797209118435476
pjm,shift_8h_all,shift_8h_all_0.50,shift,8.0,[],0.5,5081.0,31.415009903697158,526974.4679999999,2955.9167978813234,False,1.0517002801340658,28.419458245750615,0.9244097411715045,0.4834658059813204,16.59733297282909,0.001636817847419042,0.0055932805049696156
pjm,shift_8h_all,shift_8h_all_0.60,shift,8.0,[],0.6,6100.0,30.44629824971494,510724.71,2951.356567717924,False,1.0517002801340658,29.388169899732834,0.9559193667802692,0.49994532351843035,9.687116539822187,0.0009506493169599789,0.004817732770448006
pjm,shift_8h_all,shift_8h_all_0.70,shift,8.0,[],0.7,7116.0,29.875877697804384,501156.1289999999,2946.729918014897,False,1.0517002801340658,29.95859045164339,0.9744736372449212,0.5096491971634877,5.7042055191055505,0.000561437551093066,0.0042100323849976655
pjm,shift_8h_all,shift_8h_all_0.80,shift,8.0,[],0.8,8132.0,29.516414865844585,495126.2809999999,2942.318463876898,False,1.0517002801340658,30.318053283603188,0.9861660115533731,0.5157643027461128,3.5946283195979913,0.00035380199996043254,0.003728240689080569
pjm,shift_8h_all,shift_8h_all_0.90,shift,8.0,[],0.9,9150.0,29.264798788277552,490905.52,2930.8910856815764,False,1.0517002801340658,30.56966936117022,0.9943504164469149,0.5200447421790845,2.5161607756703224,0.0002471670703016033,0.0033409474711661442
pjm,shift_8h_all,shift_8h_all_1.00,shift,8.0,[],1.0,10167.0,29.091111626901142,487991.9859999999,2924.3429404765984,False,1.0517002801340658,30.74335652254663,1.0,0.5229994713909268,1.736871613764102,0.00017078383616166192,0.0030238375649204907
ercot,shift_4h_all,baseline_with_load_added,shift,4.0,[],0.0,0.0,72.12070103840637,804376.48,2632.7467287248155,True,1.0054261356271128,0.0,0.0,0.0,,,
ercot,shift_4h_all,shift_4h_all_0.05,shift,4.0,[],0.05,449.0,70.97925760119747,791645.735,2596.7129895760536,False,1.0054261356271128,1.141443437208892,0.1064955524103798,0.01605060851932787,22.82886874417784,0.002542190283316018,0.002542190283316018
ercot,shift_4h_all,shift_4h_all_0.10,shift,4.0,[],0.1,897.0,69.89341256576422,779535.09,2589.8365452099106,False,1.0054261356271128,2.227288472642144,0.20780382850270632,0.031319410291066725,21.716900708665037,0.0024237612398063657,0.002483041775520785
ercot,shift_4h_all,shift_4h_all_0.20,shift,4.0,[],0.2,1794.0,68.07105421986563,759209.9659999999,2581.283122113758,False,1.0054261356271128,4.049646818540737,0.377828073603009,0.0569448240772036,18.223583458985928,0.002031614655405343,0.002257328215463064
